num_features,num_subset_solvers,subset_size,subset_solver_depth,rounded,train_diff_pc,train_diff_ps,train_res_pc,train_res_cc,train_res_sc,train_epsilon,valid_diff_pc,valid_diff_ps,valid_res_pc,valid_res_cc,valid_res_sc,valid_epsilon,model_size_mb
96,1,6,1,False,0.0018064,0.0022354999999999996,0.0129471,1.8e-05,0.046701900000000005,0.004049099999999998,0.0018530999999999999,0.0023042,0.013523799999999999,1.8200000000000002e-05,0.0474349,0.004104999999999999,0.07
96,1,6,2,False,0.0018442,0.0022237999999999997,0.013012200000000002,1.81e-05,0.0466999,0.004048999999999999,0.0018848,0.0022910000000000005,0.0135483,1.81e-05,0.0474636,0.004104999999999999,0.08
96,1,6,3,False,0.0017725999999999998,0.0022953,0.012845100000000002,1.8e-05,0.046707399999999996,0.004048999999999999,0.0018187000000000001,0.0023650999999999998,0.0133822,1.81e-05,0.0474589,0.004104999999999999,0.08
96,1,6,4,False,0.0018237,0.00225,0.012897,1.81e-05,0.0467043,0.004048999999999999,0.0018861,0.0023303,0.013533499999999999,1.8e-05,0.0474503,0.004104999999999999,0.09
96,2,2,1,False,0.0015907999999999999,0.0024526,0.0116417,1.81e-05,0.04669620000000001,0.004048999999999999,0.0016604,0.0023857,0.012339900000000001,1.8e-05,0.0474633,0.004104999999999999,0.05
96,2,2,2,False,0.0014698,0.0025857,0.011408499999999999,1.8200000000000002e-05,0.0467001,0.004048999999999999,0.0015439,0.0025041,0.0121838,1.81e-05,0.047456899999999996,0.004104999999999999,0.07
96,2,2,3,False,0.0014359,0.0026252999999999997,0.011211700000000002,1.8200000000000002e-05,0.0466962,0.004048999999999999,0.001523,0.0025223,0.012003,1.8e-05,0.047453999999999996,0.004104999999999999,0.08
96,2,2,4,False,0.0013946,0.0026696999999999997,0.0110273,1.8e-05,0.0467061,0.004048999999999999,0.0014747,0.0025584,0.0116762,1.81e-05,0.0474571,0.004104999999999999,0.1
96,2,3,1,False,0.0016677,0.0023872,0.0119204,1.8300000000000004e-05,0.0467002,0.004048999999999999,0.0017536,0.0023334000000000002,0.012715599999999999,1.81e-05,0.0474279,0.004104999999999999,0.07
96,2,3,2,False,0.0014347,0.0026291,0.0110507,1.8e-05,0.0467065,0.004048999999999999,0.0015389000000000002,0.0025664,0.011934500000000002,1.81e-05,0.0474573,0.004104999999999999,0.08
96,2,3,3,False,0.0013859999999999999,0.0026838,0.010883,1.8400000000000003e-05,0.046708,0.004048999999999999,0.0014912999999999999,0.0025898,0.0117299,1.8200000000000002e-05,0.047441899999999995,0.004104999999999999,0.1
96,2,3,4,False,0.0013618,0.0027122,0.0107825,1.8e-05,0.0467089,0.004048999999999999,0.0014645999999999997,0.0026303000000000003,0.0115557,1.8e-05,0.047460800000000004,0.004104999999999999,0.12
96,2,4,1,False,0.0015559999999999999,0.0025063999999999998,0.011353400000000001,1.8e-05,0.0467031,0.004048999999999999,0.0016719999999999999,0.0025904,0.012110300000000001,1.8e-05,0.04741859999999999,0.004104999999999999,0.08
96,2,4,2,False,0.0014030000000000002,0.0026638,0.0108846,1.8e-05,0.0466945,0.004049099999999998,0.0014923,0.0026533,0.011672899999999998,1.8e-05,0.0474412,0.004104999999999999,0.1
96,2,4,3,False,0.0013568,0.0027192,0.010737899999999998,1.8e-05,0.0467066,0.004048999999999999,0.0014541,0.0026934,0.011601900000000002,1.81e-05,0.0474499,0.004104999999999999,0.12
96,2,4,4,False,0.0013455,0.0027316999999999997,0.0107559,1.8e-05,0.046712000000000004,0.004048999999999999,0.0014265999999999999,0.0027137000000000003,0.0114902,1.8e-05,0.0474456,0.004104999999999999,0.14
96,2,5,1,False,0.0015462999999999998,0.0025189,0.0112343,1.8e-05,0.0466981,0.004048999999999999,0.0016681,0.0026133,0.011946300000000002,1.81e-05,0.04745619999999999,0.004104999999999999,0.1
