max_diff,l1_error,l1_norm
0.028659008,0.0065116496,0.017940473
0.06960444,0.009459939,0.022121415
0.04661926,0.0072346507,0.015764598
0.07859006,0.011550002,0.034916207
0.035156004,0.008699876,0.031821623
0.05214457,0.014335958,0.02977388
0.032921672,0.006619301,0.022790214
0.039339975,0.00884571,0.0143775465
0.034312624,0.0075385217,0.030028312
0.023346977,0.007842918,0.018857168
0.045644205,0.010684956,0.040368292
0.06705392,0.011466286,0.035197407
0.028123202,0.008024247,0.04471286
0.03104186,0.0062480117,0.00957773
0.044658527,0.010308725,0.016511085
0.039159525,0.0074284845,0.041958664
0.02700633,0.0059058075,0.033797268
0.04530129,0.005415943,0.053813986
0.055055182,0.009574456,0.02947931
0.041496076,0.0068998137,0.020915201
0.017735843,0.0062234495,0.03571944
0.066984184,0.0077402703,0.026279783
0.025835764,0.006441133,0.029682275
0.043034583,0.0064418823,0.028468177
0.05325655,0.010814454,0.026580993
0.047656953,0.016237468,0.058617964
0.043032177,0.009893472,0.030785894
0.03578722,0.007784661,0.032357406
0.044918176,0.009597087,0.029677678
0.04278449,0.009049321,0.028579978
0.04355374,0.00716315,0.018606918
0.07878005,0.010427403,0.01358059
0.044418976,0.008851115,0.033305954
0.06933293,0.009677558,0.03324898
0.054241605,0.0108913295,0.019685782
0.055141486,0.00965438,0.025990615
0.033857442,0.0075408197,0.021525763
0.027267765,0.00483588,0.021416666
0.04966437,0.010554033,0.040195554
0.044411447,0.007145054,0.0193452
0.07235443,0.01324845,0.028991641
0.020318892,0.0058879335,0.013044436
0.030701943,0.00679947,0.021073103
0.02783571,0.0071875495,0.018767651
0.028300358,0.0072244895,0.020594193
0.026875995,0.0041740546,0.027495421
0.025021594,0.007460895,0.032112926
0.04189521,0.0069260467,0.016781403
0.03129406,0.007581738,0.01370867
0.024965778,0.006012398,0.035975497
0.037105426,0.010201431,0.04068888
0.044022784,0.009390199,0.036674764
0.040635657,0.007824754,0.03489978
0.069770426,0.0122754,0.009123304
0.029978987,0.0081782825,0.03698691
0.03507811,0.007119024,0.024723629
0.031979397,0.0077329753,0.043275867
0.035276614,0.008315065,0.037758093
0.02437109,0.006484602,0.020551082
0.020968776,0.007085355,0.0246937
0.02069619,0.005284218,0.020939298
0.055691224,0.012623011,0.04362695
0.039087735,0.007649667,0.02139084
0.019724758,0.0062432727,0.028507514
0.042847954,0.008533932,0.04760892
0.030176183,0.006605036,0.027010916
0.03822898,0.008552347,0.021439098
0.024848342,0.0069027785,0.02349005
